	E1	E3
1278	36.0	8.0
1279	7.0	0.0
1280	2.0	0.0
1281	4.0	5.0
1282	2.0	2.0
1283	3.0	2.0
1284	9.0	0.0
1285	4.0	5.0
1286	2.0	4.0
1287	4.0	0.0
1288	3.0	0.0
1289	37.0	18.0
1290	3.0	0.0
1291	2.0	3.0
1292	2.0	0.0
1293	2.0	2.0
1294	170.0	321.0
1295	4.0	4.0
1296	2.0	0.0
1297	2.0	4.0
1298	3.0	0.0
1299	6.0	4.0
1300	6.0	8.0
1301	4.0	0.0
1302	2.0	0.0
1303	3.0	4.0
1304	2.0	0.0
1305	2.0	0.0
1306	2.0	0.0
1307	22.0	4.0
1308	62.0	98.0
1309	7.0	3.0
1310	4.0	0.0
1311	2.0	2.0
1312	7.0	27.0
1313	3.0	14.0
1314	2.0	0.0
1315	36.0	34.0
1316	11.0	15.0
1317	173.0	341.0
1318	2.0	0.0
1319	4.0	0.0
1320	2.0	0.0
1321	53.0	20.0
1322	17.0	3.0
1323	5.0	0.0
1324	7.0	3.0
1325	77.0	69.0
1326	36.0	13.0
1327	156.0	69.0
1328	2.0	0.0
1329	2.0	0.0
1330	2.0	0.0
1331	2.0	0.0
1332	2.0	0.0
1333	9.0	5.0
1334	54.0	58.0
1335	4.0	0.0
1336	5.0	3.0
1337	14.0	0.0
1338	4.0	3.0
1339	4.0	2.0
1340	2.0	0.0
1341	567.0	289.0
1342	5.0	0.0
1343	4.0	4.0
1344	2.0	0.0
1345	2.0	0.0
1346	2.0	0.0
1347	124.0	96.0
1348	2.0	0.0
1349	257.0	164.0
1350	2.0	0.0
1351	2.0	5.0
1352	36.0	30.0
1353	3.0	0.0
1354	2.0	2.0
1355	37.0	34.0
1356	2.0	3.0
1357	2.0	0.0
1358	66.0	63.0
